@id;addr:street;addr:housenumber;amenity;addr:city;addr:postcode;@lat;@lon
44583604;Fabijoniškių g.;2A;;Vilnius;;54.7218202;25.2447701
55389132;Konstitucijos pr.;14;;Vilnius;09308;54.6943997;25.2780955
256556720;Bernardinų g.;9;;Vilnius;;54.6834874;25.2915515
267146837;Konstitucijos pr.;7A;;Vilnius;;54.6964118;25.2767679
267148892;Šeimyniškių g.;1;;Vilnius;;54.6944308;25.2821218
267533451;Naugarduko g.;41;university;Vilnius;;54.6745067;25.2681072
268620182;Ukmergės g.;238B;;Vilnius;;54.7326272;25.2366232
273153358;Sausio 13-osios g.;2;;Vilnius;;54.6920938;25.2206267
273153591;Sausio 13-osios g.;2;;Vilnius;;54.6925093;25.2213239
283242273;Konstitucijos pr.;12A;;Vilnius;09308;54.6934718;25.2785491
287034861;Smiltynės g.;3;;Klaipėda;93100;55.7167672;21.0997578
308815274;Antakalnio g.;42;;Vilnius;;54.7034247;25.3094469
309057340;Žirmūnų g.;67B;;Vilnius;;54.7167354;25.3057904
314627775;Taikos g.;1;;Vilnius;;54.7167905;25.2289479
322062961;Gelvonų g.;5;library;Vilnius;;54.7163875;25.2584103
322065260;S. Stanevičiaus g.;42;;Vilnius;;54.7244601;25.2498104
322108017;Kovo 11-osios g.;22;;Kaunas;;54.9061766;23.9750879
322779034;Fabijoniškių g.;6;;Vilnius;;54.7254822;25.2442294
322783843;S. Stanevičiaus g.;14B;;Vilnius;;54.7227737;25.2537221
322937618;Sodų g.;22;;Vilnius;;54.6704405;25.2820095
325174124;Pilies g.;24;;Vilnius;01123;54.6824627;25.2894325
325175308;Pilies g.;18;;Vilnius;;54.6830866;25.2893825
325180285;Bernardinų g.;8;;Vilnius;;54.6835756;25.2917904
325183408;Šv. Mykolo g.;8;;Vilnius;01124;54.6829936;25.2914731
325183533;Bernardinų g.;11;;Vilnius;01124;54.6833738;25.2916966
325194220;Maironio g.;13;;Vilnius;;54.6819145;25.2924619
325204798;Bazilijonų g.;3;;Vilnius;;54.6736990;25.2882308
364779424;Studentų g.;65;school;Kaunas;;54.9037711;23.9596397
427910141;Aukų g.;2A;;Vilnius;01113;54.6880230;25.2706894
441277256;A. Vivulskio g.;27;library;Vilnius;;54.6787496;25.2626817
441605731;J. Jasinskio g.;16;;Vilnius;;54.6878130;25.2599791
441900158;A. Vivulskio g.;15;;Vilnius;;54.6794371;25.2676583
477399207;Didžioji g.;31;;Vilnius;01128;54.6781584;25.2872089
497089899;Vydūno g.;27;;Vilnius;;54.7069490;25.1763551
515621065;Užupio g.;2;;Vilnius;;54.6806529;25.2933002
515621066;Užupio g.;2;;Vilnius;;54.6806251;25.2932714
515621067;Užupio g.;7;;Vilnius;;54.6803317;25.2950211
534620215;Geležinkelio g.;16;;Vilnius;;54.6702619;25.2841316
560664588;J. Basanavičiaus g.;52;;Utena;;55.4983020;25.5970218
560664668;Maironio g.;12;library;Utena;;55.5000191;25.6000738
583426196;Verkių g.;45;;Vilnius;;54.7232000;25.2950080
621117351;P. Lukšio g.;34;;Vilnius;;54.7095649;25.3007111
621117353;P. Lukšio g.;34;;Vilnius;;54.7098371;25.3022463
621142954;J. Janonio g.;12;;Panevėžys;;55.7416116;24.3226837
624541250;Saulės g.;55;;Kaunas;;54.9047504;23.9627231
648549290;Savanorių pr.;43A;;Vilnius;;54.6729399;25.2458061
654567166;Vokiečių g.;13;;Vilnius;01130;54.6799449;25.2837819
661430990;Jeruzalės g.;17;;Vilnius;;54.7431814;25.2784184
663066484;Savanorių pr.;28;;Vilnius;;54.6748965;25.2530074
663887264;Savanorių pr.;43;;Vilnius;;54.6727441;25.2454481
664143453;Vaižganto g.;30;;Kaunas;;54.8926339;23.9330585
668077733;Žirmūnų g.;2;library;Vilnius;;54.6976326;25.2992663
669545305;Gedimino pr.;2;library;Vilnius;;54.6859809;25.2848818
669545324;Tilto g.;6;;Vilnius;01101;54.6869755;25.2846296
669545333;Pilies g.;16;library;Vilnius;;54.6833637;25.2895363
669545451;Universiteto g.;5;library;Vilnius;;54.6828369;25.2872535
669923987;Vilniaus g.;2;;Vilnius;;54.6906023;25.2803399
672168304;Antakalnio g.;55;;Vilnius;;54.7083349;25.3133933
673632007;Gariūnų g.;49;;Vilnius;;54.6583338;25.1623916
673728787;Architektų g.;152;;Vilnius;;54.6831373;25.2129350
674109175;Bazilijonų g.;3;;Vilnius;;54.6739724;25.2870763
674114335;Didžioji g.;28;;Vilnius;;54.6780486;25.2878041
679516334;Vytenio g.;6;;Vilnius;;54.6791473;25.2641641
679520007;Ozo g.;25;;Vilnius;;54.7117383;25.2643371
690837066;Algirdo g.;24;;Vilnius;;54.6764683;25.2716722
692213714;Islandijos pl.;32;;Kaunas;;54.9401298;23.8890225
692213720;Islandijos pl.;32;;Kaunas;;54.9393088;23.8965475
692275886;Ozo g.;18;;Vilnius;;54.7146679;25.2755391
695825445;Geležinkelio g.;16;;Vilnius;;54.6700852;25.2842001
695828109;Geležinkelio g.;15;;Vilnius;;54.6704405;25.2827136
696780968;Trakų g.;12;library;Vilnius;;54.6802566;25.2801825
696783532;Pylimo g.;21;;Vilnius;;54.6786696;25.2783707
696855013;Liubarto g.;19;;Vilnius;;54.6889684;25.2530076
700942842;S. Dariaus ir S. Girėno g.;1C;;Šiauliai;78250;55.9052284;23.2787372
700942844;S. Dariaus ir S. Girėno g.;1B;;Šiauliai;78250;55.9050821;23.2793671
701921693;Kęstučio g.;37;;Vilnius;;54.6934585;25.2511956
701965925;Saltoniškių g.;9;;Vilnius;;54.7009061;25.2578039
702490104;Lauko g.;6;;Šiauliai;78171;55.9220243;23.2745489
702490111;Lauko g.;8;;Šiauliai;78171;55.9218532;23.2742815
702490112;Lauko g.;10;;Šiauliai;78171;55.9218301;23.2739012
702490130;Lauko g.;14;;Šiauliai;78171;55.9218406;23.2733423
702490136;Malūno g.;8;;Šiauliai;78171;55.9218484;23.2769822
702490140;Malūno g.;6;;Šiauliai;78171;55.9220902;23.2772432
702490143;Malūno g.;14;;Šiauliai;78171;55.9223279;23.2753506
702490146;Malūno g.;16;;Šiauliai;78171;55.9221680;23.2758944
702490147;Malūno g.;12;;Šiauliai;78171;55.9220082;23.2764383
702490148;Žaliūkių g.;75;;Šiauliai;78171;55.9227237;23.2777619
702490149;Malūno g.;4;;Šiauliai;78171;55.9223319;23.2775043
702846044;S. Konarskio g.;21;;Vilnius;;54.6801957;25.2589504
703507046;Šventaragio g.;2;;Vilnius;;54.6846752;25.2886371
